id,onset_years,diagnosis_DA,arm,DA_18mo,motor_18mo,loss_mito,loss_inflam,loss_proteo
23,0.9767668526324413,0.4854062030920138,B_60,0.29982518578941897,0.47608371018510287,0.17207178492768746,0.0075052794302291805,0.006003952944680856
24,0.9510034507963944,0.47992516287632464,placebo,0.2726964219278899,0.5647520059416823,0.12450893355568199,0.05052441194866027,0.03219539544409225
24,0.9510034507963944,0.47992516287632464,A_10,0.2738785323690041,0.5593419659256024,0.12469285331733172,0.04911036756168432,0.03224340962831635
24,0.9510034507963944,0.47992516287632464,A_30,0.27539347204311604,0.5536383906998625,0.12495046587880658,0.047270825278562564,0.03231039967585128
24,0.9510034507963944,0.47992516287632464,A_60,0.27649562057714966,0.5500935376279068,0.12515596967094145,0.045910383542627255,0.032363189085620345
24,0.9510034507963944,0.47992516287632464,B_10,0.2731737265416738,0.5624602398821826,0.12458221338604837,0.04995470182941041,0.03221452111919476
24,0.9510034507963944,0.47992516287632464,B_30,0.2740626286827522,0.5585826107719474,0.1247226365007291,0.0488887161203508,0.03225118157251177
24,0.9510034507963944,0.47992516287632464,B_60,0.27501609779872277,0.5549551220144462,0.12488360389449374,0.04773238288637981,0.032293078296735986
25,7.8068724827655585,0.6687179759983154,placebo,0.6244648524948821,0.14687166049749945,0.0028089250202652798,0.008376706511510058,0.03306749197163348
25,7.8068724827655585,0.6687179759983154,A_10,0.6349993671801943,0.13616301662601316,0.0021973311237531413,0.007166177734524165,0.02435509995984522
25,7.8068724827655585,0.6687179759983154,A_30,0.6410308779486875,0.13039282968005533,0.0019194610430188672,0.006437454829051895,0.019330182177549542
25,7.8068724827655585,0.6687179759983154,A_60,0.6438770107045443,0.1277914216597033,0.0017987722981568583,0.006075747186187187,0.016966445809421356
25,7.8068724827655585,0.6687179759983154,B_10,0.6301828867319093,0.14095877519956837,0.00245080724008926,0.007724054060290688,0.02836022796604078
25,7.8068724827655585,0.6687179759983154,B_30,0.6359481901382444,0.13523699325293778,0.0021511528448956317,0.007054263686030919,0.023564369329154795
25,7.8068724827655585,0.6687179759983154,B_60,0.6398239950434887,0.13152337097796307,0.001972385019017213,0.006586962885390373,0.020334633050431327
26,4.824220502388663,0.6500684509329158,placebo,0.5818722639247951,0.1817549989078786,0.0018802032963742916,0.013474367994214545,0.052841615717532577
26,4.824220502388663,0.6500684509329158,A_10,0.6007559401159871,0.16024347725564586,0.0009931461135317097,0.010608594256056734,0.037710770447342584
26,4.824220502388663,0.6500684509329158,A_30,0.6107051292059386,0.15052319645516413,0.000761356141213179,0.009261555936050778,0.02934040964970839
26,4.824220502388663,0.6500684509329158,A_60,0.6151491001759721,0.1464864107230318,0.0006774717072671432,0.008657671089666624,0.02558420796002869
26,4.824220502388663,0.6500684509329158,B_10,0.5923057744350371,0.1692666995049172,0.0012751152816442178,0.011803899763535663,0.04468366145268624
26,4.824220502388663,0.6500684509329158,B_30,0.6023702631963417,0.15860413984971505,0.000950023436592422,0.010388020218958264,0.03636014408102573
26,4.824220502388663,0.6500684509329158,B_60,0.6087738053523668,0.1523389335691601,0.0008009027229690252,0.009522234889578911,0.03097150796799057
27,0.8573928699578915,0.45948422947896633,placebo,0.24460619384896812,0.5972126535243457,0.1712948615798626,0.03000902008944155,0.013574153960694607
27,0.8573928699578915,0.45948422947896633,A_10,0.24499836239150272,0.5943619056406165,0.17138208092111054,0.029522380325099053,0.013581405841258033
27,0.8573928699578915,0.45948422947896633,A_30,0.24576913596801886,0.5896904152031068,0.17155947554489578,0.02855911863813601,0.013596499327925502
27,0.8573928699578915,0.45948422947896633,A_60,0.24642027527352245,0.5865400116718408,0.1717219689156136,0.02773131643936242,0.01361066885048254
27,0.8573928699578915,0.45948422947896633,B_10,0.24474355595119054,0.5961951831638153,0.1713258295287789,0.029838127487404806,0.0135767165115592
27,0.8573928699578915,0.45948422947896633,B_30,0.24507740912274834,0.5938210171630021,0.17139957987432278,0.029424365457873133,0.013582875024012068
27,0.8573928699578915,0.45948422947896633,B_60,0.24555684529322752,0.5908540224126856,0.171508927555727,0.028826300203580856,0.013592156426444844
28,10.2957723168671,0.6761557505260104,placebo,0.6419568864492204,0.12632966765529377,0.0012394623118690117,0.015874977551019933,0.017084424213873867
28,10.2957723168671,0.6761557505260104,A_10,0.6496831028544643,0.11849906993726675,0.001108091984804115,0.013584542440137683,0.011780013246604453
28,10.2957723168671,0.6761557505260104,A_30,0.6533516554310114,0.11489043069555605,0.0010468584159366362,0.012361732092297935,0.009395504586776255
28,10.2957723168671,0.6761557505260104,A_60,0.6549804369046203,0.11336036944124256,0.001019712927533674,0.011786614591473253,0.008368986102401822
28,10.2957723168671,0.6761557505260104,B_10,0.6464240874659661,0.12178718247552953,0.0011628966185774146,0.014593469416343256,0.013975297025128385
28,10.2957723168671,0.6761557505260104,B_30,0.6502855793524522,0.11789704463045993,0.0010980152668378803,0.013390339627032127,0.011381816279686964
28,10.2957723168671,0.6761557505260104,B_60,0.6526446438796417,0.11557248657788449,0.0010586437013384883,0.012605068844283557,0.009847394100744492
29,1.025302025439257,0.4940891716928924,placebo,0.29324371990533554,0.4875913789352941,0.1898172983321796,0.005477223874277982,0.005550929581100171
29,1.025302025439257,0.4940891716928924,A_10,0.29871067567932774,0.47801204808747755,0.1866812415033814,0.004741797024419379,0.003955457485766809
29,1.025302025439257,0.4940891716928924,A_30,0.30210951523999324,0.4721225850965622,0.18465386530813546,0.004260830333478879,0.0030649608112792953
29,1.025302025439257,0.4940891716928924,A_60,0.3038196554442706,0.4692080642529161,0.18361563821094168,0.004009313259894439,0.0026445647777792684
